state,action,nextState,reward
"(-1, 0, 1)",activePlanning,"(-1, 0, -1)",3.395178231
"(-1, 0, 0)",activePlanning,"(1, 1, -1)",7.944231582
"(1, 1, -1)",remindTruths,"(0, 0, 0)",4.469117527
"(-1, 0, 0)",remindTruths,"(0, 1, 0)",3.931273496
"(1, 1, 1)",rewardPunish,"(1, -1, 0)",1.463366529
"(1, 0, 0)",rewardPunish,"(-1, 1, -1)",4.196456039
"(0, -1, -1)",remindTruths,"(0, 0, 1)",8.318839506
"(-1, 0, 1)",activePlanning,"(-1, 1, 1)",7.220060476
"(1, -1, -1)",rewardPunish,"(-1, 1, 0)",7.604277755
"(-1, -1, 0)",activePlanning,"(0, 0, -1)",9.704992131
"(0, 0, 1)",remindTruths,"(-1, 0, 1)",5.290318701
"(-1, 0, 0)",remindTruths,"(0, 0, 1)",3.121613167
"(-1, 1, 1)",remindTruths,"(-1, 1, 1)",3.616947146
"(1, 1, 1)",rewardPunish,"(1, 0, 0)",9.242528416
"(0, 1, -1)",remindTruths,"(0, 1, 1)",9.807950225
"(1, 0, 0)",rewardPunish,"(1, -1, -1)",1.764392211
"(-1, 1, 1)",remindTruths,"(0, -1, 1)",5.891910446
"(-1, 1, -1)",rewardPunish,"(-1, 1, 0)",5.262388572
"(1, 0, 0)",activePlanning,"(0, -1, 1)",6.630268396
"(1, 0, 1)",rewardPunish,"(0, 1, 1)",1.082263207
"(0, 0, -1)",remindTruths,"(-1, -1, 1)",3.54162779
"(0, 1, 1)",rewardPunish,"(-1, 1, 0)",9.788102175
"(0, 0, 1)",activePlanning,"(0, 1, 1)",5.243936485
"(-1, 1, 0)",activePlanning,"(0, 1, 1)",5.234273426
"(0, 1, 0)",rewardPunish,"(-1, 1, 1)",3.318465579
"(-1, 1, 0)",rewardPunish,"(0, 0, 0)",4.143913134
"(-1, 0, -1)",activePlanning,"(-1, 0, 1)",7.177641402
"(0, 0, 1)",rewardPunish,"(0, 1, 0)",7.176381322
"(1, 1, 1)",remindTruths,"(0, 1, -1)",1.181422902
"(-1, 1, 1)",activePlanning,"(0, 0, 1)",9.986227292
"(1, 1, -1)",activePlanning,"(-1, -1, -1)",5.934391347
"(-1, -1, 0)",rewardPunish,"(0, 0, 1)",7.008100986
"(0, 1, 0)",rewardPunish,"(-1, 0, 0)",6.756166372
"(1, 1, -1)",remindTruths,"(0, -1, 1)",4.910222516
"(-1, 0, -1)",remindTruths,"(-1, 0, 1)",5.062942315
"(-1, 0, 1)",activePlanning,"(-1, 1, 0)",9.447954222
"(-1, -1, 0)",remindTruths,"(1, 0, -1)",4.770113063
"(-1, 1, 0)",activePlanning,"(0, 0, 1)",1.801834511
"(0, 1, 0)",activePlanning,"(1, 1, -1)",9.347279566
"(0, -1, 1)",remindTruths,"(1, 0, 1)",4.041218539
"(0, -1, -1)",remindTruths,"(1, -1, 0)",5.14698755
"(0, 0, 1)",remindTruths,"(0, -1, -1)",3.389451106
"(0, 0, 1)",activePlanning,"(0, -1, -1)",4.430505999
"(1, 0, 0)",rewardPunish,"(1, -1, 1)",4.123441328
"(-1, -1, -1)",rewardPunish,"(1, 0, -1)",4.872927026
"(-1, 0, -1)",activePlanning,"(-1, 1, 0)",9.813993706
"(-1, 0, 0)",activePlanning,"(-1, 0, 0)",6.991240491
"(1, 0, -1)",rewardPunish,"(0, 1, 0)",3.265661992
"(0, 1, -1)",remindTruths,"(0, -1, 1)",7.199643333
"(0, 1, 1)",activePlanning,"(-1, -1, 1)",5.181563756
"(1, 1, 0)",remindTruths,"(-1, -1, -1)",1.937773026
"(-1, 0, 1)",rewardPunish,"(0, 1, -1)",4.039061604
"(0, 1, 1)",activePlanning,"(0, -1, -1)",5.038534553
"(-1, 1, -1)",remindTruths,"(0, 1, -1)",6.161032755
"(1, 1, 1)",remindTruths,"(-1, -1, 1)",3.230078859
"(1, 0, 0)",rewardPunish,"(1, 0, 1)",2.298463331
"(-1, 1, 1)",rewardPunish,"(0, 1, 1)",8.021876721
"(1, 0, -1)",remindTruths,"(1, 1, 0)",8.536122471
"(0, 1, 1)",remindTruths,"(0, 0, 0)",1.846124522
"(1, 1, 0)",remindTruths,"(0, 1, 1)",4.214389622
"(0, 0, 1)",rewardPunish,"(0, 1, 0)",6.132116916
"(1, -1, 1)",remindTruths,"(0, 0, 1)",3.701174793
"(-1, 1, 1)",activePlanning,"(-1, 0, -1)",9.926580756
"(0, 0, -1)",rewardPunish,"(0, 1, -1)",8.118208635
"(-1, -1, 1)",rewardPunish,"(1, -1, 0)",1.73101775
"(-1, -1, 1)",remindTruths,"(-1, 0, 0)",6.651341781
"(0, 1, 1)",remindTruths,"(1, -1, 0)",3.727682927
"(1, 0, -1)",rewardPunish,"(1, 0, -1)",4.356805444
"(1, -1, 1)",remindTruths,"(0, 0, 0)",6.239686101
"(-1, 0, 0)",rewardPunish,"(1, 1, -1)",4.46341178
"(-1, -1, 0)",remindTruths,"(1, 0, 0)",3.147378803
"(1, 1, 0)",rewardPunish,"(-1, 0, -1)",6.982867037
"(-1, 1, -1)",activePlanning,"(1, 1, -1)",7.838351441
"(1, 1, 0)",rewardPunish,"(-1, 1, 0)",8.618291656
"(0, 1, 1)",rewardPunish,"(-1, 1, -1)",5.161066127
"(-1, 1, 1)",rewardPunish,"(-1, -1, 1)",1.867638454
"(0, 1, 1)",activePlanning,"(-1, 1, 1)",4.042368298
"(-1, 1, 1)",rewardPunish,"(1, 1, 1)",7.67614275
"(-1, 1, 1)",activePlanning,"(0, 0, 1)",3.043432288
"(0, -1, -1)",activePlanning,"(0, 1, 0)",7.145518817
"(0, -1, 1)",remindTruths,"(0, 0, -1)",4.584084942
"(-1, -1, -1)",remindTruths,"(0, 1, -1)",8.422674785
"(-1, -1, 0)",activePlanning,"(0, -1, -1)",8.964208221
"(0, -1, -1)",activePlanning,"(0, 0, 1)",6.635887535
"(0, 1, 1)",remindTruths,"(0, 1, -1)",7.019607538
"(1, 1, 0)",rewardPunish,"(0, 1, 0)",3.857642614
"(1, 0, -1)",remindTruths,"(1, 0, 0)",6.404786914
"(0, -1, 1)",remindTruths,"(-1, 0, -1)",8.090525523
"(1, 0, 0)",activePlanning,"(0, 1, -1)",6.519419632
"(-1, -1, -1)",remindTruths,"(-1, 0, 1)",9.433475777
"(1, -1, 1)",remindTruths,"(1, 0, 0)",8.221404163
"(0, -1, 0)",activePlanning,"(-1, -1, 1)",7.636673542
"(1, 0, 0)",activePlanning,"(0, -1, 0)",3.671425529
"(0, -1, 0)",remindTruths,"(0, 1, 1)",6.046130224
"(1, -1, -1)",remindTruths,"(-1, 0, 0)",3.910688626
"(1, 1, 0)",rewardPunish,"(1, -1, 0)",1.665407734
"(1, 1, 0)",activePlanning,"(0, -1, 1)",7.982198273
"(0, -1, -1)",rewardPunish,"(-1, 1, 1)",5.82701764
"(1, 0, 0)",remindTruths,"(-1, 1, 0)",1.793219944
"(1, 1, -1)",rewardPunish,"(1, 1, -1)",5.998418532
"(1, 1, 0)",rewardPunish,"(-1, 0, 1)",9.724515564
"(1, 1, 1)",rewardPunish,"(-1, 0, 0)",1.714705925
"(0, 0, -1)",activePlanning,"(1, -1, -1)",1.949100129
"(0, -1, 0)",rewardPunish,"(1, 1, 0)",9.042736819
"(1, -1, 0)",rewardPunish,"(0, 1, -1)",6.593952028
"(-1, -1, 0)",rewardPunish,"(-1, 0, -1)",5.778100788
"(1, 1, 1)",rewardPunish,"(1, 0, 0)",2.779590117
"(0, 1, 1)",activePlanning,"(1, 0, 0)",2.244961116
"(0, -1, -1)",remindTruths,"(0, -1, 1)",1.755000015
"(0, 1, 1)",remindTruths,"(1, -1, -1)",2.665798332
"(1, 0, -1)",remindTruths,"(0, -1, 1)",6.417808766
"(1, 0, 0)",rewardPunish,"(0, 0, 1)",8.172677402
"(0, -1, 0)",rewardPunish,"(1, 0, 0)",9.427535259
"(0, 1, 1)",remindTruths,"(0, 1, 1)",7.163218155
"(1, 1, -1)",activePlanning,"(-1, -1, 1)",5.531693496
"(0, 1, -1)",remindTruths,"(1, 1, 1)",3.001303965
"(-1, 1, 1)",remindTruths,"(1, 0, 0)",7.758209203
"(0, 1, -1)",rewardPunish,"(0, 0, 1)",5.00225093
"(1, 0, -1)",remindTruths,"(1, -1, -1)",2.572256491
"(-1, 0, -1)",rewardPunish,"(1, 0, -1)",7.671701565
"(1, -1, -1)",activePlanning,"(-1, 0, 0)",5.022330758
"(0, 1, 0)",activePlanning,"(1, 1, 1)",4.253252416
"(0, 0, 0)",activePlanning,"(-1, 0, -1)",7.572993668
"(-1, 1, 0)",remindTruths,"(1, 1, 1)",3.597517139
"(-1, -1, 0)",rewardPunish,"(-1, 1, 0)",5.811656217
"(-1, 0, 1)",activePlanning,"(-1, 1, -1)",6.479713007
"(-1, 0, 0)",remindTruths,"(1, 1, 1)",9.584801877
"(1, 1, 0)",rewardPunish,"(-1, 1, -1)",3.176035765
"(0, 0, 0)",rewardPunish,"(-1, -1, 0)",2.064040805
"(1, 1, -1)",activePlanning,"(0, 1, 1)",7.766937303
"(0, 1, 1)",activePlanning,"(-1, 0, 1)",5.910133188
"(1, -1, 1)",remindTruths,"(-1, -1, -1)",6.773548565
"(1, 0, 0)",remindTruths,"(-1, 1, -1)",1.829696229
"(-1, -1, 0)",activePlanning,"(1, -1, 0)",9.675526683
"(-1, 0, 1)",remindTruths,"(0, 0, 1)",3.062243916
"(0, 1, 0)",rewardPunish,"(0, -1, 1)",9.774708695
"(0, 0, 0)",remindTruths,"(-1, 1, -1)",4.296709204
"(1, 0, 0)",activePlanning,"(1, -1, -1)",4.565140227
"(-1, 1, 0)",rewardPunish,"(1, -1, 0)",2.213035255
"(1, 1, 1)",rewardPunish,"(1, 0, 1)",1.531312541
"(0, 0, 0)",rewardPunish,"(1, 0, 1)",6.486033819
"(0, 0, 0)",remindTruths,"(-1, 0, -1)",1.399121386
"(1, 1, -1)",rewardPunish,"(1, 0, -1)",9.819532697
"(1, 1, 0)",rewardPunish,"(1, 1, 0)",3.06158529
"(1, -1, 1)",activePlanning,"(0, -1, 0)",8.624119881
"(1, 0, 1)",activePlanning,"(0, 1, -1)",9.329584852
"(0, 0, 1)",rewardPunish,"(1, 1, -1)",7.201964966
"(1, -1, 0)",remindTruths,"(-1, -1, -1)",4.126615567
"(-1, -1, 0)",rewardPunish,"(0, 1, 0)",9.313821967
"(1, -1, 1)",rewardPunish,"(0, 0, -1)",3.891788801
"(0, 0, 0)",activePlanning,"(0, 0, 0)",3.941411333
"(-1, -1, 1)",rewardPunish,"(-1, 1, 0)",4.788269374
"(0, 0, 0)",activePlanning,"(0, 0, 1)",4.609037483
"(0, -1, 1)",rewardPunish,"(1, 0, 1)",8.479510365
"(-1, 0, 0)",remindTruths,"(-1, 1, 1)",4.967590078
"(-1, 1, 0)",remindTruths,"(-1, 0, 1)",6.244332952
"(-1, 0, -1)",activePlanning,"(0, 1, 0)",1.314791548
"(0, 1, -1)",remindTruths,"(-1, 1, 0)",1.092716745
"(0, 0, -1)",activePlanning,"(0, -1, -1)",7.502276212
"(1, 0, 0)",activePlanning,"(-1, 1, 1)",3.252036938
"(1, -1, -1)",remindTruths,"(-1, 1, -1)",4.028707314
"(-1, -1, -1)",activePlanning,"(0, -1, 0)",2.043959715
"(1, -1, 0)",rewardPunish,"(0, 0, 0)",6.622899559
"(-1, 1, 0)",remindTruths,"(1, 1, -1)",8.405573827
"(-1, -1, 0)",remindTruths,"(1, 1, 0)",1.923777577
"(0, -1, 0)",remindTruths,"(-1, -1, -1)",8.202205417
"(1, -1, 0)",rewardPunish,"(-1, 0, 1)",8.718965223
"(0, -1, -1)",remindTruths,"(0, 0, -1)",4.703372708
"(0, 0, 0)",remindTruths,"(1, 1, 0)",9.62708685
"(1, -1, -1)",remindTruths,"(0, 1, 0)",3.393092018
"(-1, 0, 1)",remindTruths,"(0, 0, 0)",8.502606692
"(0, -1, 1)",activePlanning,"(1, 0, 0)",1.56962666
"(1, 0, 1)",activePlanning,"(0, 1, 0)",2.103893333
"(0, 0, 0)",activePlanning,"(1, 1, 1)",1.172529123
"(0, -1, -1)",remindTruths,"(-1, -1, 0)",4.822626467
"(-1, -1, 0)",activePlanning,"(1, -1, -1)",1.329189151
"(1, -1, 0)",remindTruths,"(0, 1, -1)",5.825147131
"(-1, 1, -1)",remindTruths,"(0, 0, 0)",7.168556712
"(1, 1, 0)",remindTruths,"(1, 0, 1)",2.438149305
"(1, 1, -1)",rewardPunish,"(-1, -1, 1)",8.232656577
"(1, 1, 1)",remindTruths,"(-1, 0, -1)",5.906111232
"(-1, 1, -1)",rewardPunish,"(1, 0, 0)",9.583134261
"(-1, 1, 0)",remindTruths,"(1, 0, 1)",6.603440413
"(0, 1, 0)",activePlanning,"(1, 0, -1)",3.302957449
"(1, 1, 1)",rewardPunish,"(0, 1, 0)",4.636750336
"(0, 1, 0)",remindTruths,"(-1, -1, -1)",8.105117298
"(1, 1, 1)",rewardPunish,"(1, 0, -1)",6.855687056
"(0, 0, 1)",rewardPunish,"(1, -1, -1)",5.806700844
"(1, 0, -1)",rewardPunish,"(1, 1, 0)",4.781764209
"(-1, -1, 1)",activePlanning,"(1, 0, 0)",2.999469018
"(1, 1, 0)",activePlanning,"(-1, 0, -1)",9.02400442
"(0, -1, -1)",remindTruths,"(1, -1, 1)",3.272015969
"(1, 0, 0)",remindTruths,"(-1, -1, 1)",1.580607624
"(-1, 0, -1)",remindTruths,"(1, 1, 0)",1.470856754
"(-1, -1, 0)",remindTruths,"(-1, 1, 1)",4.036886497
"(1, 1, 0)",remindTruths,"(1, 1, 0)",8.404584735
"(1, 1, -1)",rewardPunish,"(1, 0, 0)",5.509128136
"(-1, -1, 1)",activePlanning,"(1, -1, 0)",5.83371691
"(-1, 0, -1)",rewardPunish,"(1, -1, -1)",6.89057092
"(-1, 1, 0)",remindTruths,"(-1, 1, -1)",2.969669615
"(0, -1, -1)",remindTruths,"(1, 1, 1)",5.887211932
"(0, -1, -1)",remindTruths,"(-1, -1, 1)",4.338392233
"(0, -1, -1)",rewardPunish,"(-1, 1, 1)",5.553348309
"(1, -1, 1)",activePlanning,"(1, -1, 1)",4.850206595
"(1, 0, -1)",activePlanning,"(-1, 0, -1)",3.053842593
"(-1, 1, -1)",remindTruths,"(1, 0, -1)",8.239992734
"(0, 1, -1)",remindTruths,"(0, -1, 0)",1.241459318
